browsers final changes
Chrome,,61,0.29166666666667984
Chrome,,62,0.4027777777777196
Chrome,,63,0.26388888888878004
Chrome,,64,0.04166666666664
""
versions final changes
,10_12_6,0.00694444444444
,10_13_2,0.01388888888888
,10_11_4,0.0625
""
browsers every changes
Chrome,60,61,0.20833333333330004
Chrome,60,62,0.2847222222221599
Chrome,60,63,0.12499999999996003
Chrome,60,64,0.02083333333332
Chrome,57,61,0.00694444444444
Chrome,57,62,0.00694444444444
Chrome,57,63,0.0347222222222
Chrome,57,64,0.01388888888888
Chrome,59,61,0.0277777777778
Chrome,59,62,0.03472222222224
Chrome,59,63,0.05555555555554
Chrome,58,61,0.04861111111114
Chrome,58,62,0.07638888888888001
Chrome,58,63,0.048611111111080005
Chrome,58,64,0.00694444444444
""
versions every changes
10_12_4,10_12_6,0.00694444444444
10_12_6,10_13_2,0.01388888888888
10_11_6,10_11_4,0.0625
